year,load_zone_1,load_zone_2,load_zone_3,load_zone_4,load_zone_5,load_zone_6,load_zone_7,load_zone_8
2018,0.013358758,0.013358758,0.006344216,0.013358758,0.013358758,0.006344216,0.013358758,0.013358758
2019,0.014474937,0.014474937,0.012748408,0.014474937,0.014474937,0.012748408,0.014474937,0.014474937
2020,0.009346502,0.009346502,0.001852272,0.009346502,0.009346502,0.001852272,0.009346502,0.009346502
2021,0.027060406,0.027060406,0.022228399,0.027060406,0.027060406,0.022228399,0.027060406,0.027060406
2022,0.015962065,0.015962065,0.009102839,0.015962065,0.015962065,0.009102839,0.015962065,0.015962065
2023,0.013452796,0.013452796,0.003283606,0.013452796,0.013452796,0.003283606,0.013452796,0.013452796
2024,0.01335628,0.01335628,0.003314844,0.01335628,0.01335628,0.003314844,0.01335628,0.01335628
2025,0.012202304,0.012202304,0.001481432,0.012202304,0.012202304,0.001481432,0.012202304,0.012202304
2026,0.012541586,0.012541586,0.00313779,0.012541586,0.012541586,0.00313779,0.012541586,0.012541586
2027,0.010078691,0.010078691,0.002497203,0.010078691,0.010078691,0.002497203,0.010078691,0.010078691
2028,0.013380702,0.013380702,0.005240078,0.013380702,0.013380702,0.005240078,0.013380702,0.013380702
2029,0.0128097,0.0128097,0.00700489,0.0128097,0.0128097,0.00700489,0.0128097,0.0128097
2030,0.011971686,0.011971686,0.000778418,0.011971686,0.011971686,0.000778418,0.011971686,0.011971686
2031,0.011612553,0.011612553,0.005274565,0.011612553,0.011612553,0.005274565,0.011612553,0.011612553
2032,0.012245974,0.012245974,0.007563553,0.012245974,0.012245974,0.007563553,0.012245974,0.012245974
2033,0.011920525,0.011920525,0.009708662,0.011920525,0.011920525,0.009708662,0.011920525,0.011920525
2034,0.012877226,0.012877226,0.009538184,0.012877226,0.012877226,0.009538184,0.012877226,0.012877226
2035,0.01292113,0.01292113,0.00950072,0.01292113,0.01292113,0.00950072,0.01292113,0.01292113
2036,0.012948999,0.012948999,0.010493979,0.012948999,0.012948999,0.010493979,0.012948999,0.012948999
2037,0.013492242,0.013492242,0.011412531,0.013492242,0.013492242,0.011412531,0.013492242,0.013492242
2038,0.013667586,0.013667586,0.011180021,0.013667586,0.013667586,0.011180021,0.013667586,0.013667586
2039,0.014039397,0.014039397,0.011565834,0.014039397,0.014039397,0.011565834,0.014039397,0.014039397
2040,0.013700429,0.013700429,0.01284379,0.013700429,0.013700429,0.01284379,0.013700429,0.013700429
2041,0.013908593,0.013908593,0.012357332,0.013908593,0.013908593,0.012357332,0.013908593,0.013908593
2042,0.014179924,0.014179924,0.011412945,0.014179924,0.014179924,0.011412945,0.014179924,0.014179924
2043,0.014824892,0.014824892,0.012749609,0.014824892,0.014824892,0.012749609,0.014824892,0.014824892
2044,0.014765423,0.014765423,0.012822541,0.014765423,0.014765423,0.012822541,0.014765423,0.014765423
2045,0.014998552,0.014998552,0.013335065,0.014998552,0.014998552,0.013335065,0.014998552,0.014998552
2046,0.014991793,0.014991793,0.013436842,0.014991793,0.014991793,0.013436842,0.014991793,0.014991793
2047,0.015678349,0.015678349,0.013912925,0.015678349,0.015678349,0.013912925,0.015678349,0.015678349
2048,0.015478617,0.015478617,0.015389261,0.015478617,0.015478617,0.015389261,0.015478617,0.015478617
2049,0.015220881,0.015220881,0.01454537,0.015220881,0.015220881,0.01454537,0.015220881,0.015220881
2050,0.015228375,0.015228375,0.013768071,0.015228375,0.015228375,0.013768071,0.015228375,0.015228375
